Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Afghanistan,183272,7728,0,0,175544,4.22,other,2022-07-13T18:08:21.459Z
Albania,289391,3516,0,0,285875,1.21,Western Europe,2022-07-13T18:08:21.459Z
Algeria,266303,6875,0,0,259428,2.58,Middle East,2022-07-13T18:08:21.459Z
Andorra,44671,153,0,0,44518,0.34,Western Europe,2022-07-13T18:08:21.459Z
Angola,101320,1900,0,0,99420,1.88,other,2022-07-13T18:08:21.459Z
Antarctica,11,0,0,0,11,0.0,other,2022-07-13T18:08:21.459Z
Antigua and Barbuda,8686,143,0,0,8543,1.65,other,2022-07-13T18:08:21.459Z
Argentina,9426171,129145,0,0,9297026,1.37,other,2022-07-13T18:08:21.459Z
Armenia,423771,8629,0,0,415142,2.04,other,2022-07-13T18:08:21.459Z
Australia,8605986,10442,44415,58,8595544,0.12,other,2022-07-13T18:08:21.459Z
Austria,4579384,20135,0,0,4559249,0.44,Western Europe,2022-07-13T18:08:21.459Z
Azerbaijan,793388,9717,0,0,783671,1.22,other,2022-07-13T18:08:21.459Z
Bahamas,36299,822,0,0,35477,2.26,other,2022-07-13T18:08:21.459Z
Bahrain,641978,1503,0,0,640475,0.23,other,2022-07-13T18:08:21.459Z
Bangladesh,1991031,29212,0,0,1961819,1.47,other,2022-07-13T18:08:21.459Z
Barbados,86451,478,0,0,85973,0.55,other,2022-07-13T18:08:21.459Z
Belarus,994037,7118,0,0,986919,0.72,other,2022-07-13T18:08:21.459Z
Belgium,4320107,32015,0,0,4288092,0.74,Western Europe,2022-07-13T18:08:21.459Z
Belize,65508,680,0,0,64828,1.04,other,2022-07-13T18:08:21.459Z
Benin,27216,163,0,0,27053,0.6,other,2022-07-13T18:08:21.459Z
Bhutan,59940,21,0,0,59919,0.04,other,2022-07-13T18:08:21.459Z
Bolivia,948655,21970,0,0,926685,2.32,other,2022-07-13T18:08:21.459Z
Bosnia and Herzegovina,379982,15810,0,0,364172,4.16,Western Europe,2022-07-13T18:08:21.459Z
