Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Afghanistan,183285,7728,0,0,175557,4.22,other,2022-07-14T09:19:45.566Z
Albania,290954,3517,0,0,287437,1.21,Western Europe,2022-07-14T09:19:45.566Z
Algeria,266328,6875,0,0,259453,2.58,Middle East,2022-07-14T09:19:45.566Z
Andorra,44671,153,0,0,44518,0.34,Western Europe,2022-07-14T09:19:45.566Z
Angola,101320,1900,0,0,99420,1.88,other,2022-07-14T09:19:45.566Z
Antarctica,11,0,0,0,11,0.0,other,2022-07-14T09:19:45.566Z
Antigua and Barbuda,8686,143,0,0,8543,1.65,other,2022-07-14T09:19:45.566Z
Argentina,9426171,129145,0,0,9297026,1.37,other,2022-07-14T09:19:45.566Z
Armenia,423771,8629,0,0,415142,2.04,other,2022-07-14T09:19:45.566Z
Australia,8653081,10515,47095,73,8642566,0.12,other,2022-07-14T09:19:45.566Z
Austria,4591009,20152,0,0,4570857,0.44,Western Europe,2022-07-14T09:19:45.566Z
Azerbaijan,793388,9717,0,0,783671,1.22,other,2022-07-14T09:19:45.566Z
Bahamas,36299,822,0,0,35477,2.26,other,2022-07-14T09:19:45.566Z
Bahrain,643672,1503,0,0,642169,0.23,other,2022-07-14T09:19:45.566Z
Bangladesh,1992058,29217,0,0,1962841,1.47,other,2022-07-14T09:19:45.566Z
Barbados,86691,479,0,0,86212,0.55,other,2022-07-14T09:19:45.566Z
Belarus,994037,7118,0,0,986919,0.72,other,2022-07-14T09:19:45.566Z
Belgium,4320107,32015,0,0,4288092,0.74,Western Europe,2022-07-14T09:19:45.566Z
Belize,65508,680,0,0,64828,1.04,other,2022-07-14T09:19:45.566Z
Benin,27216,163,0,0,27053,0.6,other,2022-07-14T09:19:45.566Z
Bhutan,59940,21,0,0,59919,0.04,other,2022-07-14T09:19:45.566Z
Bolivia,956629,21977,0,0,934652,2.3,other,2022-07-14T09:19:45.566Z
Bosnia and Herzegovina,380211,15812,0,0,364399,4.16,Western Europe,2022-07-14T09:19:45.566Z
Botswana,324154,2753,0,0,321401,0.85,other,2022-07-14T09:19:45.566Z
Brazil,33076779,674482,72224,380,32402297,2.04,other,2022-07-14T09:19:45.566Z
Brunei Darussalam,179759,225,0,0,179534,0.13,other,2022-07-14T09:19:45.566Z
Bulgaria,1181657,37281,0,0,1144376,3.15,Western Europe,2022-07-14T09:19:45.566Z
Burkina Faso,21044,387,0,0,20657,1.84,other,2022-07-14T09:19:45.566Z
Burundi,43060,38,0,0,43022,0.09,other,2022-07-14T09:19:45.566Z
Cambodia,136390,3056,0,0,133334,2.24,other,2022-07-14T09:19:45.566Z
Cameroon,120068,1931,0,0,118137,1.61,other,2022-07-14T09:19:45.566Z
Canada,3409195,37613,3616,34,3371582,1.1,other,2022-07-14T09:19:45.566Z
Cape Verde,61776,409,0,0,61367,0.66,other,2022-07-14T09:19:45.566Z
Central African Republic,14712,113,0,0,14599,0.77,other,2022-07-14T09:19:45.566Z
Chad,7427,193,0,0,7234,2.6,other,2022-07-14T09:19:45.566Z
Chile,4103590,58884,8494,6,4044706,1.43,other,2022-07-14T09:19:45.566Z
China,1507533,14651,3276,2,1492882,0.97,other,2022-07-14T09:19:45.566Z
Colombia,6198848,140202,0,0,6058646,2.26,other,2022-07-14T09:19:45.566Z
Comoros,8209,160,0,0,8049,1.95,other,2022-07-14T09:19:45.566Z
Congo (Brazzaville),24421,386,0,0,24035,1.58,other,2022-07-14T09:19:45.566Z
Congo (Kinshasa),91737,1376,0,0,90361,1.5,other,2022-07-14T09:19:45.566Z
Costa Rica,904934,8525,0,0,896409,0.94,other,2022-07-14T09:19:45.566Z
Croatia,1162061,16130,0,0,1145931,1.39,Western Europe,2022-07-14T09:19:45.566Z
Cuba,1106553,8529,0,0,1098024,0.77,other,2022-07-14T09:19:45.566Z
Cyprus,530510,1079,0,0,529431,0.2,Western Europe,2022-07-14T09:19:45.566Z
Czech Republic,3947772,40343,0,0,3907429,1.02,other,2022-07-14T09:19:45.566Z
Côte d'Ivoire,84248,806,0,0,83442,0.96,other,2022-07-14T09:19:45.566Z
Denmark,3245928,6579,0,0,3239349,0.2,Western Europe,2022-07-14T09:19:45.566Z
