Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Afghanistan,183358,7728,73,0,175630,4.21,Other,2022-07-15T15:20:53.805Z
Albania,290954,3517,0,0,287437,1.21,Western_Europe,2022-07-15T15:20:53.805Z
Algeria,266356,6875,28,0,259481,2.58,Middle_East,2022-07-15T15:20:53.805Z
Andorra,44671,153,0,0,44518,0.34,Western_Europe,2022-07-15T15:20:53.805Z
Angola,101600,1900,280,0,99700,1.87,Other,2022-07-15T15:20:53.805Z
Antarctica,11,0,0,0,11,0.0,Other,2022-07-15T15:20:53.805Z
Antigua and Barbuda,8686,143,0,0,8543,1.65,Other,2022-07-15T15:20:53.805Z
Argentina,9426171,129145,0,0,9297026,1.37,Other,2022-07-15T15:20:53.805Z
Armenia,423771,8629,0,0,415142,2.04,Other,2022-07-15T15:20:53.805Z
Australia,8653081,10515,47095,73,8642566,0.12,Other,2022-07-15T15:20:53.805Z
Austria,4606092,20156,15083,4,4585936,0.44,Western_Europe,2022-07-15T15:20:53.805Z
Azerbaijan,793388,9717,0,0,783671,1.22,Other,2022-07-15T15:20:53.805Z
Bahamas,36299,822,0,0,35477,2.26,Other,2022-07-15T15:20:53.805Z
Bahrain,645399,1503,1727,0,643896,0.23,Other,2022-07-15T15:20:53.805Z
Bangladesh,1993382,29223,1324,6,1964159,1.47,Other,2022-07-15T15:20:53.805Z
Barbados,87002,479,311,0,86523,0.55,Other,2022-07-15T15:20:53.805Z
Belarus,994037,7118,0,0,986919,0.72,Other,2022-07-15T15:20:53.805Z
Belgium,4320107,32015,0,0,4288092,0.74,Western_Europe,2022-07-15T15:20:53.805Z
Belize,65508,680,0,0,64828,1.04,Other,2022-07-15T15:20:53.805Z
Benin,27216,163,0,0,27053,0.6,Other,2022-07-15T15:20:53.805Z
Bhutan,59940,21,0,0,59919,0.04,Other,2022-07-15T15:20:53.805Z
Bolivia,956629,21977,0,0,934652,2.3,Other,2022-07-15T15:20:53.805Z
Bosnia and Herzegovina,380498,15814,287,2,364684,4.16,Western_Europe,2022-07-15T15:20:53.805Z
Botswana,324841,2760,687,7,322081,0.85,Other,2022-07-15T15:20:53.805Z
Brazil,33076779,674482,72224,380,32402297,2.04,Other,2022-07-15T15:20:53.805Z
Brunei Darussalam,181256,225,1497,0,181031,0.12,Other,2022-07-15T15:20:53.805Z
Bulgaria,1182764,37283,1107,2,1145481,3.15,Western_Europe,2022-07-15T15:20:53.805Z
Burkina Faso,21044,387,0,0,20657,1.84,Other,2022-07-15T15:20:53.805Z
Burundi,43060,38,0,0,43022,0.09,Other,2022-07-15T15:20:53.805Z
Cambodia,136407,3056,17,0,133351,2.24,Other,2022-07-15T15:20:53.805Z
Cameroon,120068,1931,0,0,118137,1.61,Other,2022-07-15T15:20:53.805Z
Canada,3409195,37613,3616,34,3371582,1.1,Other,2022-07-15T15:20:53.805Z
Cape Verde,61776,409,0,0,61367,0.66,Other,2022-07-15T15:20:53.805Z
Central African Republic,14712,113,0,0,14599,0.77,Other,2022-07-15T15:20:53.805Z
Chad,7427,193,0,0,7234,2.6,Other,2022-07-15T15:20:53.805Z
Chile,4103590,58884,8494,6,4044706,1.43,Other,2022-07-15T15:20:53.805Z
China,1507533,14651,3276,2,1492882,0.97,Other,2022-07-15T15:20:53.805Z
Colombia,6198848,140202,0,0,6058646,2.26,Other,2022-07-15T15:20:53.805Z
Comoros,8209,160,0,0,8049,1.95,Other,2022-07-15T15:20:53.805Z
Congo (Brazzaville),24421,386,0,0,24035,1.58,Other,2022-07-15T15:20:53.805Z
Congo (Kinshasa),91737,1376,0,0,90361,1.5,Other,2022-07-15T15:20:53.805Z
Costa Rica,904934,8525,0,0,896409,0.94,Other,2022-07-15T15:20:53.805Z
Croatia,1163824,16135,1763,5,1147689,1.39,Western_Europe,2022-07-15T15:20:53.805Z
Cuba,1106602,8529,49,0,1098073,0.77,Other,2022-07-15T15:20:53.805Z
Cyprus,530510,1079,0,0,529431,0.2,Western_Europe,2022-07-15T15:20:53.805Z
Czech Republic,3947772,40343,0,0,3907429,1.02,Other,2022-07-15T15:20:53.805Z
Côte d'Ivoire,84347,806,99,0,83541,0.96,Other,2022-07-15T15:20:53.805Z
Denmark,3245928,6579,0,0,3239349,0.2,Western_Europe,2022-07-15T15:20:53.805Z
Djibouti,15690,189,0,0,15501,1.2,Other,2022-07-15T15:20:53.805Z
Dominica,14852,68,0,0,14784,0.46,Other,2022-07-15T15:20:53.805Z
Dominican Republic,621047,4383,810,0,616664,0.71,Other,2022-07-15T15:20:53.805Z
Ecuador,927700,35769,0,0,891931,3.86,Other,2022-07-15T15:20:53.805Z
Egypt,515645,24725,0,0,490920,4.79,Middle_East,2022-07-15T15:20:53.805Z
El Salvador,180970,4167,0,2,176803,2.3,Other,2022-07-15T15:20:53.805Z
Equatorial Guinea,16504,183,0,0,16321,1.11,Other,2022-07-15T15:20:53.805Z
Eritrea,9844,103,0,0,9741,1.05,Other,2022-07-15T15:20:53.805Z
Estonia,585143,2608,0,0,582535,0.45,Western_Europe,2022-07-15T15:20:53.805Z
Ethiopia,490816,7559,121,0,483257,1.54,Other,2022-07-15T15:20:53.805Z
Fiji,66713,869,308,0,65844,1.3,Other,2022-07-15T15:20:53.805Z
Finland,1171034,5012,12549,71,1166022,0.43,Western_Europe,2022-07-15T15:20:53.805Z
France,32881645,151454,0,0,32730191,0.46,Western_Europe,2022-07-15T15:20:53.805Z
Gabon,48157,305,0,0,47852,0.63,Other,2022-07-15T15:20:53.805Z
Gambia,12009,365,0,0,11644,3.04,Other,2022-07-15T15:20:53.805Z
Georgia,1667453,16847,5154,3,1650606,1.01,Other,2022-07-15T15:20:53.805Z
Germany,29460249,142284,152149,145,29317965,0.48,Western_Europe,2022-07-15T15:20:53.805Z
Ghana,167215,1456,0,0,165759,0.87,Other,2022-07-15T15:20:53.805Z
Greece,3843142,30476,0,0,3812666,0.79,Western_Europe,2022-07-15T15:20:53.805Z
Grenada,18592,233,0,0,18359,1.25,Other,2022-07-15T15:20:53.805Z
Guatemala,970621,18768,7504,12,951853,1.93,Other,2022-07-15T15:20:53.805Z
Guinea,37358,445,0,0,36913,1.19,Other,2022-07-15T15:20:53.805Z
Guinea-Bissau,8400,171,0,0,8229,2.04,Other,2022-07-15T15:20:53.805Z
Guyana,68627,1264,127,0,67363,1.84,Other,2022-07-15T15:20:53.805Z
Haiti,31980,837,0,0,31143,2.62,Other,2022-07-15T15:20:53.805Z
Holy See (Vatican City State),29,0,0,0,29,0.0,Other,2022-07-15T15:20:53.805Z
Honduras,430672,10912,0,0,419760,2.53,Other,2022-07-15T15:20:53.805Z
Hungary,1940824,46696,0,0,1894128,2.41,Western_Europe,2022-07-15T15:20:53.805Z
Iceland,198721,179,0,0,198542,0.09,Western_Europe,2022-07-15T15:20:53.805Z
India,43689989,525557,20139,38,43164432,1.2,Other,2022-07-15T15:20:53.805Z
Indonesia,6123753,156827,3584,9,5966926,2.56,Other,2022-07-15T15:20:53.805Z
"Iran, Islamic Republic of",7265251,141464,5234,8,7123787,1.95,Other,2022-07-15T15:20:53.805Z
Iraq,2396707,25261,2981,2,2371446,1.05,Middle_East,2022-07-15T15:20:53.805Z
Ireland,1628745,7571,0,0,1621174,0.46,Other,2022-07-15T15:20:53.805Z
Israel,4489387,11101,7301,0,4478286,0.25,Middle_East,2022-07-15T15:20:53.805Z
Italy,19778911,169496,111591,106,19609415,0.86,Other,2022-07-15T15:20:53.805Z
Jamaica,144349,3164,136,3,141185,2.19,Other,2022-07-15T15:20:53.805Z
Japan,9901424,31497,94453,31,9869927,0.32,Other,2022-07-15T15:20:53.805Z
Jordan,1702661,14069,0,0,1688592,0.83,Middle_East,2022-07-15T15:20:53.805Z
Kazakhstan,1401600,19019,1124,0,1382581,1.36,Other,2022-07-15T15:20:53.805Z
Kenya,336445,5668,153,0,330777,1.68,Other,2022-07-15T15:20:53.805Z
Kiribati,3236,13,0,0,3223,0.4,Other,2022-07-15T15:20:53.805Z
Korea (South),18641278,24696,0,0,18616582,0.13,Other,2022-07-15T15:20:53.805Z
Kuwait,648216,2556,0,0,645660,0.39,Middle_East,2022-07-15T15:20:53.805Z
Kyrgyzstan,201329,2991,47,0,198338,1.49,Other,2022-07-15T15:20:53.805Z
Lao PDR,210433,757,32,0,209676,0.36,Other,2022-07-15T15:20:53.805Z
Latvia,844142,5873,1107,2,838269,0.7,Western_Europe,2022-07-15T15:20:53.805Z
Lebanon,1129660,10482,3249,3,1119178,0.93,Middle_East,2022-07-15T15:20:53.805Z
Lesotho,34040,702,0,0,33338,2.06,Other,2022-07-15T15:20:53.805Z
Liberia,7504,294,2,0,7210,3.92,Other,2022-07-15T15:20:53.805Z
Libya,502289,6430,0,0,495859,1.28,Middle_East,2022-07-15T15:20:53.805Z
Liechtenstein,18299,85,42,0,18214,0.46,Other,2022-07-15T15:20:53.805Z
Lithuania,1167750,9188,806,3,1158562,0.79,Western_Europe,2022-07-15T15:20:53.805Z
Luxembourg,274677,1102,1276,2,273575,0.4,Western_Europe,2022-07-15T15:20:53.805Z
"Macedonia, Republic of",317634,9337,494,0,308297,2.94,Other,2022-07-15T15:20:53.805Z
Madagascar,66098,1403,0,0,64695,2.12,Other,2022-07-15T15:20:53.805Z
Malawi,86823,2651,0,0,84172,3.05,Other,2022-07-15T15:20:53.805Z
Malaysia,4604670,35828,3934,9,4568842,0.78,Other,2022-07-15T15:20:53.805Z
Maldives,183491,307,0,0,183184,0.17,Other,2022-07-15T15:20:53.805Z
Mali,31196,737,1,0,30459,2.36,Other,2022-07-15T15:20:53.805Z
Malta,110191,768,280,2,109423,0.7,Western_Europe,2022-07-15T15:20:53.805Z
Marshall Islands,49,0,2,0,49,0.0,Other,2022-07-15T15:20:53.805Z
Mauritania,61640,986,97,0,60654,1.6,Middle_East,2022-07-15T15:20:53.805Z
Mauritius,233082,1008,0,0,232074,0.43,Other,2022-07-15T15:20:53.805Z
Mexico,6338991,326261,37346,72,6012730,5.15,Other,2022-07-15T15:20:53.805Z
"Micronesia, Federated States of",38,0,0,0,38,0.0,Other,2022-07-15T15:20:53.805Z
Moldova,523034,11584,0,0,511450,2.21,Other,2022-07-15T15:20:53.805Z
Monaco,13696,60,51,0,13636,0.44,Western_Europe,2022-07-15T15:20:53.805Z
Mongolia,930418,2119,91,0,928299,0.23,Other,2022-07-15T15:20:53.805Z
Montenegro,245369,2730,466,0,242639,1.11,Other,2022-07-15T15:20:53.805Z
Morocco,1246835,16167,1943,2,1230668,1.3,Middle_East,2022-07-15T15:20:53.805Z
Mozambique,228887,2215,47,1,226672,0.97,Other,2022-07-15T15:20:53.805Z
Myanmar,613784,19434,11,0,594350,3.17,Other,2022-07-15T15:20:53.805Z
Namibia,169253,4068,0,0,165185,2.4,Other,2022-07-15T15:20:53.805Z
Nepal,980981,11952,214,0,969029,1.22,Other,2022-07-15T15:20:53.805Z
Netherlands,8260556,22413,6806,4,8238143,0.27,Other,2022-07-15T15:20:53.805Z
New Zealand,1479769,1698,0,0,1478071,0.11,Other,2022-07-15T15:20:53.805Z
Nicaragua,14751,244,0,0,14507,1.65,Other,2022-07-15T15:20:53.805Z
Niger,9096,311,0,0,8785,3.42,Other,2022-07-15T15:20:53.805Z
Nigeria,258934,3144,60,0,255790,1.21,Other,2022-07-15T15:20:53.805Z
Norway,1452176,3504,322,0,1448672,0.24,Western_Europe,2022-07-15T15:20:53.805Z
Oman,391641,4628,0,0,387013,1.18,Other,2022-07-15T15:20:53.805Z
Pakistan,1544131,30426,390,2,1513705,1.97,Other,2022-07-15T15:20:53.805Z
Palau,5308,6,0,0,5302,0.11,Other,2022-07-15T15:20:53.805Z
Palestinian Territory,662588,5662,0,0,656926,0.85,Other,2022-07-15T15:20:53.805Z
Panama,938791,8384,0,0,930407,0.89,Other,2022-07-15T15:20:53.805Z
Papua New Guinea,44758,662,6,0,44096,1.48,Other,2022-07-15T15:20:53.805Z
Paraguay,673829,19036,0,0,654793,2.83,Other,2022-07-15T15:20:53.805Z
Peru,3703751,213731,12538,17,3490020,5.77,Other,2022-07-15T15:20:53.805Z
Philippines,3725382,60641,2368,1,3664741,1.63,Other,2022-07-15T15:20:53.805Z
Poland,6027974,116468,1840,4,5911506,1.93,Western_Europe,2022-07-15T15:20:53.805Z
Portugal,5273845,24381,0,12,5249464,0.46,Western_Europe,2022-07-15T15:20:53.805Z
Qatar,391945,680,1027,0,391265,0.17,Other,2022-07-15T15:20:53.805Z
Republic of Kosovo,233661,3146,871,0,230515,1.35,Other,2022-07-15T15:20:53.805Z
Romania,2953944,65802,3993,1,2888142,2.23,Western_Europe,2022-07-15T15:20:53.805Z
Russian Federation,18202785,373983,3895,41,17828802,2.05,Other,2022-07-15T15:20:53.805Z
Rwanda,131808,1462,42,0,130346,1.11,Other,2022-07-15T15:20:53.805Z
Saint Kitts and Nevis,6345,45,13,0,6300,0.71,Other,2022-07-15T15:20:53.805Z
Saint Lucia,27408,385,0,0,27023,1.4,Other,2022-07-15T15:20:53.805Z
Saint Vincent and Grenadines,9183,114,21,0,9069,1.24,Other,2022-07-15T15:20:53.805Z
Samoa,15134,29,0,0,15105,0.19,Other,2022-07-15T15:20:53.805Z
San Marino,18977,116,0,0,18861,0.61,Other,2022-07-15T15:20:53.805Z
Sao Tome and Principe,6079,74,0,0,6005,1.22,Other,2022-07-15T15:20:53.805Z
Saudi Arabia,801935,9228,586,3,792707,1.15,Other,2022-07-15T15:20:53.805Z
Senegal,86631,1968,37,0,84663,2.27,Other,2022-07-15T15:20:53.805Z
Serbia,2049388,16162,2218,4,2033226,0.79,Other,2022-07-15T15:20:53.805Z
Seychelles,45185,167,109,0,45018,0.37,Other,2022-07-15T15:20:53.805Z
Sierra Leone,7718,125,0,0,7593,1.62,Other,2022-07-15T15:20:53.805Z
Singapore,1569420,1444,11772,4,1567976,0.09,Other,2022-07-15T15:20:53.805Z
Slovakia,2561338,20168,1077,2,2541170,0.79,Western_Europe,2022-07-15T15:20:53.805Z
Slovenia,1056201,6665,1760,3,1049536,0.63,Western_Europe,2022-07-15T15:20:53.805Z
Solomon Islands,21544,153,0,0,21391,0.71,Other,2022-07-15T15:20:53.805Z
Somalia,26900,1361,0,0,25539,5.06,Other,2022-07-15T15:20:53.805Z
South Africa,3998466,101895,0,0,3896571,2.55,Other,2022-07-15T15:20:53.805Z
South Sudan,17733,138,0,0,17595,0.78,Other,2022-07-15T15:20:53.805Z
Spain,13032841,108974,0,0,12923867,0.84,Western_Europe,2022-07-15T15:20:53.805Z
Sri Lanka,664364,16526,19,0,647838,2.49,Other,2022-07-15T15:20:53.805Z
Sudan,62795,4955,0,0,57840,7.89,Middle_East,2022-07-15T15:20:53.805Z
Suriname,80919,1377,0,0,79542,1.7,Other,2022-07-15T15:20:53.805Z
Swaziland,73230,1417,1,0,71813,1.93,Other,2022-07-15T15:20:53.805Z
Sweden,2523404,19144,0,0,2504260,0.76,Western_Europe,2022-07-15T15:20:53.805Z
Switzerland,3861756,13857,0,0,3847899,0.36,Western_Europe,2022-07-15T15:20:53.805Z
Syrian Arab Republic (Syria),55966,3150,6,0,52816,5.63,Other,2022-07-15T15:20:53.805Z
"Taiwan, Republic of China",4189929,7917,27639,88,4182012,0.19,Other,2022-07-15T15:20:53.805Z
Tajikistan,17786,125,0,0,17661,0.7,Other,2022-07-15T15:20:53.805Z
"Tanzania, United Republic of",37510,841,1336,0,36669,2.24,Other,2022-07-15T15:20:53.805Z
Thailand,4553181,30935,0,0,4522246,0.68,Other,2022-07-15T15:20:53.805Z
Timor-Leste,22975,133,1,0,22842,0.58,Other,2022-07-15T15:20:53.805Z
Togo,37718,275,47,0,37443,0.73,Other,2022-07-15T15:20:53.805Z
Tonga,12382,12,0,0,12370,0.1,Other,2022-07-15T15:20:53.805Z
