Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Afghanistan,183687,7733,115,2,175954,4.21,Other,2022-07-19T03:35:48.997Z
Albania,293917,3517,0,0,290400,1.2,Western_Europe,2022-07-19T03:35:48.997Z
Algeria,266487,6875,42,0,259612,2.58,Middle_East,2022-07-19T03:35:48.997Z
Andorra,45061,153,390,0,44908,0.34,Western_Europe,2022-07-19T03:35:48.997Z
Angola,102209,1912,308,3,100297,1.87,Other,2022-07-19T03:35:48.997Z
Antarctica,11,0,0,0,11,0.0,Other,2022-07-19T03:35:48.997Z
Antigua and Barbuda,8712,144,0,0,8568,1.65,Other,2022-07-19T03:35:48.997Z
Argentina,9465827,129202,0,0,9336625,1.36,Other,2022-07-19T03:35:48.997Z
Armenia,424400,8629,629,0,415771,2.03,Other,2022-07-19T03:35:48.997Z
Australia,8811274,10715,76701,56,8800559,0.12,Other,2022-07-19T03:35:48.997Z
Austria,4655677,20176,36824,13,4635501,0.43,Western_Europe,2022-07-19T03:35:48.997Z
Azerbaijan,794656,9723,1268,6,784933,1.22,Other,2022-07-19T03:35:48.997Z
Bahamas,36435,822,0,0,35613,2.26,Other,2022-07-19T03:35:48.997Z
Bahrain,650625,1506,1224,0,649119,0.23,Other,2022-07-19T03:35:48.997Z
Bangladesh,1997412,29241,1072,7,1968171,1.46,Other,2022-07-19T03:35:48.997Z
Barbados,87754,479,170,0,87275,0.55,Other,2022-07-19T03:35:48.997Z
Belarus,994037,7118,0,0,986919,0.72,Other,2022-07-19T03:35:48.997Z
Belgium,4349050,32051,0,0,4316999,0.74,Western_Europe,2022-07-19T03:35:48.997Z
Belize,66179,680,185,0,65499,1.03,Other,2022-07-19T03:35:48.997Z
Benin,27216,163,0,0,27053,0.6,Other,2022-07-19T03:35:48.997Z
Bhutan,60109,21,169,0,60088,0.03,Other,2022-07-19T03:35:48.997Z
Bolivia,969652,21982,0,0,947670,2.27,Other,2022-07-19T03:35:48.997Z
Bosnia and Herzegovina,381150,15819,401,2,365331,4.15,Western_Europe,2022-07-19T03:35:48.997Z
Botswana,324841,2760,0,0,322081,0.85,Other,2022-07-19T03:35:48.997Z
Brazil,33301118,675350,51001,260,32625768,2.03,Other,2022-07-19T03:35:48.997Z
Brunei Darussalam,188219,225,5269,0,187994,0.12,Other,2022-07-19T03:35:48.997Z
Bulgaria,1187138,37301,2292,7,1149837,3.14,Western_Europe,2022-07-19T03:35:48.997Z
Burkina Faso,21128,387,0,0,20741,1.83,Other,2022-07-19T03:35:48.997Z
Burundi,43414,38,192,0,43376,0.09,Other,2022-07-19T03:35:48.997Z
Cambodia,136477,3056,22,0,133421,2.24,Other,2022-07-19T03:35:48.997Z
Cameroon,120068,1931,0,0,118137,1.61,Other,2022-07-19T03:35:48.997Z
Canada,3434935,38896,1984,20,3396039,1.13,Other,2022-07-19T03:35:48.997Z
Cape Verde,61922,409,0,0,61513,0.66,Other,2022-07-19T03:35:48.997Z
Central African Republic,14712,113,0,0,14599,0.77,Other,2022-07-19T03:35:48.997Z
Chad,7430,193,3,0,7237,2.6,Other,2022-07-19T03:35:48.997Z
Chile,4137152,59086,14751,96,4078066,1.43,Other,2022-07-19T03:35:48.997Z
China,1522671,14668,7600,5,1508003,0.96,Other,2022-07-19T03:35:48.997Z
Colombia,6223497,140365,0,0,6083132,2.26,Other,2022-07-19T03:35:48.997Z
Comoros,8209,160,0,0,8049,1.95,Other,2022-07-19T03:35:48.997Z
Congo (Brazzaville),24604,386,0,0,24218,1.57,Other,2022-07-19T03:35:48.997Z
Congo (Kinshasa),91737,1376,0,0,90361,1.5,Other,2022-07-19T03:35:48.997Z
Costa Rica,904934,8525,0,0,896409,0.94,Other,2022-07-19T03:35:48.997Z
Croatia,1168191,16158,80,2,1152033,1.38,Western_Europe,2022-07-19T03:35:48.997Z
Cuba,1106879,8529,81,0,1098350,0.77,Other,2022-07-19T03:35:48.997Z
Cyprus,545896,1086,0,0,544810,0.2,Western_Europe,2022-07-19T03:35:48.997Z
Czech Republic,3952650,40355,0,0,3912295,1.02,Other,2022-07-19T03:35:48.997Z
Côte d'Ivoire,84616,808,33,2,83808,0.95,Other,2022-07-19T03:35:48.997Z
Denmark,3250368,6600,0,0,3243768,0.2,Western_Europe,2022-07-19T03:35:48.997Z
Djibouti,15690,189,0,0,15501,1.2,Other,2022-07-19T03:35:48.997Z
