Name,TotalConfirmed,TotalDeaths,NewConfirmed,NewDeaths,survivors,Fatality_ratio,Region,Date
Afghanistan,183572,7731,165,2,175841,4.21,Other,2022-07-18T06:53:06.103Z
Albania,293917,3517,0,0,290400,1.2,Western_Europe,2022-07-18T06:53:06.103Z
Algeria,266445,6875,53,0,259570,2.58,Middle_East,2022-07-18T06:53:06.103Z
Andorra,44671,153,0,0,44518,0.34,Western_Europe,2022-07-18T06:53:06.103Z
Angola,101901,1909,0,0,99992,1.87,Other,2022-07-18T06:53:06.103Z
Antarctica,11,0,0,0,11,0.0,Other,2022-07-18T06:53:06.103Z
Antigua and Barbuda,8712,144,8,1,8568,1.65,Other,2022-07-18T06:53:06.103Z
Argentina,9465827,129202,39656,57,9336625,1.36,Other,2022-07-18T06:53:06.103Z
Armenia,423771,8629,0,0,415142,2.04,Other,2022-07-18T06:53:06.103Z
Australia,8734573,10659,81492,144,8723914,0.12,Other,2022-07-18T06:53:06.103Z
Austria,4618853,20163,0,0,4598690,0.44,Western_Europe,2022-07-18T06:53:06.103Z
Azerbaijan,793388,9717,0,0,783671,1.22,Other,2022-07-18T06:53:06.103Z
Bahamas,36354,822,0,0,35532,2.26,Other,2022-07-18T06:53:06.103Z
Bahrain,649401,1506,2706,1,647895,0.23,Other,2022-07-18T06:53:06.103Z
Bangladesh,1996340,29234,1907,9,1967106,1.46,Other,2022-07-18T06:53:06.103Z
Barbados,87463,479,244,0,86984,0.55,Other,2022-07-18T06:53:06.103Z
Belarus,994037,7118,0,0,986919,0.72,Other,2022-07-18T06:53:06.103Z
Belgium,4349050,32051,28943,36,4316999,0.74,Western_Europe,2022-07-18T06:53:06.103Z
Belize,65994,680,0,0,65314,1.03,Other,2022-07-18T06:53:06.103Z
Benin,27216,163,0,0,27053,0.6,Other,2022-07-18T06:53:06.103Z
Bhutan,59940,21,0,0,59919,0.04,Other,2022-07-18T06:53:06.103Z
Bolivia,968212,21979,7433,0,946233,2.27,Other,2022-07-18T06:53:06.103Z
Bosnia and Herzegovina,380749,15817,0,0,364932,4.15,Western_Europe,2022-07-18T06:53:06.103Z
Botswana,324841,2760,0,0,322081,0.85,Other,2022-07-18T06:53:06.103Z
Brazil,33250117,675090,173338,608,32575027,2.03,Other,2022-07-18T06:53:06.103Z
Brunei Darussalam,182950,225,0,0,182725,0.12,Other,2022-07-18T06:53:06.103Z
Bulgaria,1184429,37291,552,2,1147138,3.15,Western_Europe,2022-07-18T06:53:06.103Z
Burkina Faso,21128,387,0,0,20741,1.83,Other,2022-07-18T06:53:06.103Z
Burundi,43222,38,0,0,43184,0.09,Other,2022-07-18T06:53:06.103Z
Cambodia,136455,3056,34,0,133399,2.24,Other,2022-07-18T06:53:06.103Z
Cameroon,120068,1931,0,0,118137,1.61,Other,2022-07-18T06:53:06.103Z
Canada,3432951,38876,23756,1263,3394075,1.13,Other,2022-07-18T06:53:06.103Z
Cape Verde,61922,409,146,0,61513,0.66,Other,2022-07-18T06:53:06.103Z
Central African Republic,14712,113,0,0,14599,0.77,Other,2022-07-18T06:53:06.103Z
Chad,7427,193,0,0,7234,2.6,Other,2022-07-18T06:53:06.103Z
Chile,4122401,58990,18811,106,4063411,1.43,Other,2022-07-18T06:53:06.103Z
China,1515071,14663,7538,12,1500408,0.97,Other,2022-07-18T06:53:06.103Z
Colombia,6223497,140365,24649,163,6083132,2.26,Other,2022-07-18T06:53:06.103Z
Comoros,8209,160,0,0,8049,1.95,Other,2022-07-18T06:53:06.103Z
Congo (Brazzaville),24604,386,0,0,24218,1.57,Other,2022-07-18T06:53:06.103Z
Congo (Kinshasa),91737,1376,0,0,90361,1.5,Other,2022-07-18T06:53:06.103Z
Costa Rica,904934,8525,0,0,896409,0.94,Other,2022-07-18T06:53:06.103Z
Croatia,1168111,16156,2633,13,1151955,1.38,Western_Europe,2022-07-18T06:53:06.103Z
